epoch,val_acc
0,0.3797
1,0.3851
2,0.3851
3,0.3851
4,0.3851
5,0.3838
6,0.3781
7,0.3806
8,0.3842
9,0.3904
10,0.3883
11,0.3920
12,0.3928
13,0.3977
14,0.3957
15,0.3989
16,0.3973
17,0.4018
18,0.4034
19,0.4071
20,0.4059
21,0.4059
22,0.4108
23,0.4132
24,0.4153
25,0.4283
26,0.4308
27,0.4287
28,0.4316
29,0.4357
30,0.4365
31,0.4398
32,0.4377
33,0.4402
34,0.4422
35,0.4414
36,0.4406
37,0.4406
38,0.4381
39,0.4369
40,0.4398
41,0.4406
42,0.4430
43,0.4471
44,0.4447
45,0.4430
46,0.4488
47,0.4483
48,0.4483
49,0.4496
50,0.4488
51,0.4467
52,0.4483
53,0.4483
54,0.4475
55,0.4443
56,0.4471
57,0.4447
58,0.4443
59,0.4475
60,0.4524
61,0.4455
62,0.4512
63,0.4520
64,0.4508
65,0.4496
66,0.4569
67,0.4561
68,0.4504
69,0.4586
70,0.4581
71,0.4504
72,0.4541
73,0.4610
74,0.4577
75,0.4590
76,0.4635
77,0.4659
78,0.4626
79,0.4647
80,0.4696
81,0.4659
82,0.4667
83,0.4692
84,0.4671
85,0.4708
86,0.4684
87,0.4708
88,0.4733
89,0.4679
90,0.4700
91,0.4716
92,0.4741
93,0.4737
94,0.4724
95,0.4704
96,0.4720
97,0.4716
98,0.4724
99,0.4700
100,0.4720
101,0.4741
102,0.4720
103,0.4733
104,0.4696
105,0.4753
106,0.4745
107,0.4700
108,0.4733
109,0.4700
110,0.4728
111,0.4724
112,0.4724
113,0.4728
114,0.4708
115,0.4688
116,0.4708
117,0.4688
118,0.4749
119,0.4671
120,0.4708
121,0.4765
122,0.4671
123,0.4741
124,0.4679
125,0.4663
126,0.4733
127,0.4688
128,0.4733
129,0.4745
130,0.4684
131,0.4741
132,0.4741
133,0.4724
134,0.4745
135,0.4692
136,0.4745
137,0.4704
138,0.4733
139,0.4765
140,0.4724
141,0.4737
