epoch,val_acc
0,0.2118
1,0.2941
2,0.2654
3,0.1948
4,0.1634
5,0.3817
6,0.4000
7,0.5098
8,0.4732
9,0.5765
10,0.6771
11,0.5869
12,0.7046
13,0.7582
14,0.7595
15,0.7634
16,0.7922
17,0.8118
18,0.8144
19,0.8144
20,0.8092
21,0.8013
22,0.7817
23,0.7974
24,0.8118
25,0.8327
26,0.8379
27,0.8379
28,0.8588
29,0.8850
30,0.8928
31,0.8902
32,0.8837
33,0.8837
34,0.8902
35,0.8915
36,0.8915
37,0.8954
38,0.8941
39,0.8915
40,0.8967
41,0.9007
42,0.9059
43,0.9033
44,0.9046
45,0.9059
46,0.9072
47,0.9059
48,0.9046
49,0.9124
50,0.9033
51,0.9059
52,0.9085
53,0.9111
54,0.9163
55,0.9124
56,0.9111
57,0.9137
58,0.9242
59,0.9242
60,0.9203
61,0.9176
62,0.9190
63,0.9242
64,0.9242
65,0.9229
66,0.9216
67,0.9255
68,0.9268
69,0.9255
70,0.9255
71,0.9216
72,0.9229
73,0.9268
74,0.9320
75,0.9294
76,0.9281
77,0.9255
78,0.9255
79,0.9268
80,0.9255
81,0.9294
82,0.9320
83,0.9255
84,0.9268
85,0.9307
86,0.9307
87,0.9307
88,0.9281
89,0.9333
90,0.9281
91,0.9333
92,0.9268
93,0.9242
94,0.9320
95,0.9294
96,0.9281
97,0.9268
98,0.9307
99,0.9307
100,0.9346
101,0.9268
102,0.9268
103,0.9359
104,0.9333
105,0.9333
106,0.9268
107,0.9294
108,0.9425
109,0.9412
110,0.9307
111,0.9373
112,0.9386
113,0.9255
114,0.9346
115,0.9281
116,0.9399
117,0.9294
118,0.9333
119,0.9333
120,0.9333
121,0.9294
122,0.9359
123,0.9399
124,0.9412
125,0.9386
126,0.9399
127,0.9359
128,0.9386
