epoch,val_acc
0,0.6312
1,0.8243
2,0.8663
3,0.8783
4,0.9105
5,0.9100
6,0.9133
7,0.9203
8,0.9231
9,0.9236
10,0.9236
11,0.9291
12,0.9362
13,0.9367
14,0.9394
15,0.9405
16,0.9449
17,0.9405
18,0.9373
19,0.9367
20,0.9394
21,0.9444
22,0.9444
23,0.9449
24,0.9454
25,0.9465
26,0.9471
27,0.9422
28,0.9433
29,0.9438
30,0.9460
31,0.9498
32,0.9509
33,0.9514
34,0.9520
35,0.9514
36,0.9520
37,0.9487
38,0.9465
39,0.9487
40,0.9520
41,0.9531
42,0.9536
43,0.9553
44,0.9553
45,0.9542
46,0.9547
47,0.9542
48,0.9536
49,0.9525
50,0.9514
51,0.9520
52,0.9520
53,0.9514
54,0.9514
55,0.9514
56,0.9514
57,0.9531
58,0.9531
59,0.9531
60,0.9531
61,0.9531
62,0.9531
63,0.9536
