epoch,val_acc
0,0.3760
1,0.1702
2,0.0545
3,0.1680
4,0.2051
5,0.3338
6,0.4153
7,0.3949
8,0.3767
9,0.4007
10,0.4415
11,0.4938
12,0.1818
13,0.5665
14,0.5425
15,0.5840
16,0.5389
17,0.4851
18,0.4698
19,0.4902
20,0.5404
21,0.6029
22,0.6065
23,0.6095
24,0.6102
25,0.6356
26,0.6524
27,0.6080
28,0.5949
29,0.6036
30,0.6291
31,0.6553
32,0.6713
33,0.6764
34,0.6807
35,0.6836
36,0.7105
37,0.6836
38,0.6873
39,0.7149
40,0.7578
41,0.7404
42,0.7527
43,0.7665
44,0.7753
45,0.7956
46,0.7913
47,0.8095
48,0.8116
49,0.8109
50,0.8138
51,0.8305
52,0.8320
53,0.8393
54,0.8495
55,0.8495
56,0.8502
57,0.8596
58,0.8516
59,0.8502
60,0.8553
61,0.8647
62,0.8720
63,0.8698
64,0.8676
65,0.8778
66,0.8778
67,0.8684
68,0.8720
69,0.8742
70,0.8800
71,0.8785
72,0.8829
73,0.8822
74,0.8851
75,0.8836
76,0.8851
77,0.8851
78,0.8858
79,0.8895
80,0.8887
81,0.8924
82,0.8909
83,0.8902
84,0.8916
85,0.8916
86,0.8909
87,0.8931
88,0.8924
89,0.8945
90,0.8931
91,0.8945
92,0.8982
93,0.8967
94,0.8967
95,0.8960
96,0.8953
97,0.8960
98,0.8982
99,0.8989
100,0.8989
101,0.9004
102,0.8989
103,0.9011
104,0.9004
105,0.9033
106,0.9018
107,0.8996
108,0.9011
109,0.8967
110,0.8924
111,0.8924
112,0.8960
113,0.9105
114,0.9062
115,0.8982
116,0.9018
117,0.8982
118,0.9047
119,0.9076
120,0.9004
121,0.9004
122,0.9062
123,0.9047
124,0.8945
125,0.9098
126,0.9076
127,0.9018
128,0.9062
129,0.9069
130,0.9018
131,0.9047
132,0.9113
133,0.9091
134,0.9062
135,0.9113
136,0.9098
137,0.9076
138,0.9120
139,0.9105
140,0.9084
141,0.9113
142,0.9098
143,0.9098
144,0.9120
145,0.9113
146,0.9091
147,0.9120
148,0.9113
149,0.9098
150,0.9142
151,0.9120
152,0.9105
153,0.9113
154,0.9113
155,0.9135
156,0.9120
157,0.9098
158,0.9135
159,0.9127
160,0.9098
161,0.9120
162,0.9113
163,0.9135
164,0.9127
165,0.9120
166,0.9127
167,0.9113
168,0.9105
169,0.9113
170,0.9113
